pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
HD 210702 b,,603.87700,2007,2015-09-03,NaN
kap CrB b,,635.66000,2007,2015-10-15,NaN
HD 143361 b,,991.58800,2008,2014-05-14,NaN
OGLE2-TR-L9 b,18.046,1430.17500,2008,2014-05-14,4.39
WASP-12 b,20.100,448.00000,2008,2014-05-14,1.11
HD 45364 c,,209.09150,2008,2014-05-14,NaN
BD-17 63 b,,1620.90000,2008,2014-05-14,NaN
HR 8799 d,13.000,3000.00000,2008,2014-05-14,17.76
WASP-7 b,14.908,305.10400,2008,2014-05-14,1.37
HD 154672 b,,1600.00000,2008,2014-05-14,NaN
HAT-P-11 b,4.730,25.74300,2008,2014-05-14,1.15
HD 153950 b,,867.63900,2008,2014-05-14,NaN
HR 8799 c,13.000,3000.00000,2008,2014-05-14,17.76
WASP-10 b,12.106,1001.12000,2008,2014-05-14,6.83
WASP-11 b,11.265,154.77700,2008,2014-05-14,1.22
81 Cet b,,1684.40000,2008,2014-05-14,NaN
42 Dra b,,1233.13000,2008,2014-05-14,NaN
14 And b,,1525.50000,2008,2014-05-14,NaN
HR 8799 b,13.000,2000.00000,2008,2014-05-14,11.84
WASP-14 b,14.360,2333.00000,2008,2014-05-14,11.32
HAT-P-8 b,16.810,483.08000,2008,2014-05-14,1.71
HAT-P-9 b,15.690,247.90000,2008,2014-05-14,1.01
HD 60532 c,,781.83000,2008,2014-05-14,NaN
HD 145377 b,,1830.62400,2008,2014-05-14,NaN
XO-4 b,14.910,565.71000,2008,2014-05-14,2.55
HD 60532 b,,327.35000,2008,2014-05-14,NaN
HD 131664 b,,5768.37100,2008,2014-05-14,NaN
CoRoT-1 b,16.700,327.35000,2008,2014-05-14,1.17
CoRoT-2 b,16.432,1102.82000,2008,2014-05-14,4.09
CoRoT-4 b,13.340,228.83000,2008,2014-05-14,1.29
HD 139357 b,,3101.89000,2008,2014-05-14,NaN
HD 11964 c,,25.00000,2008,2014-05-14,NaN
HD 16417 b,,22.10000,2008,2014-05-14,NaN
HD 102272 b,,1875.10000,2008,2014-05-14,NaN
HD 45364 b,,59.49530,2008,2014-05-14,NaN
FU Tau b,,4993.10700,2008,2014-05-14,NaN
CoRoT-3 b,11.320,6883.91000,2008,2014-05-14,53.75
18 Del b,,3273.50000,2008,2014-05-14,NaN
GJ 832 b,,216.00000,2008,2014-06-25,NaN
HD 173416 b,,858.10000,2008,2014-07-09,NaN
HD 179079 b,,27.50000,2008,2014-07-09,NaN
HD 183263 c,,1134.61000,2008,2014-07-23,NaN
HD 187123 c,,632.46000,2008,2014-07-23,NaN
HD 181433 d,,171.00000,2008,2014-07-23,NaN
HD 181433 c,,203.00000,2008,2014-07-23,NaN
HD 181433 b,,7.50000,2008,2014-07-23,NaN
HD 205739 b,,435.41000,2008,2014-09-25,NaN
MOA 2007-BLG-192L b,,3.30000,2008,2014-10-29,NaN
WASP-5 b,12.184,502.15000,2008,2014-10-29,3.38
MOA 2007-BLG-400L b,,263.79000,2008,2014-10-29,NaN
OGLE 2006-BLG-109L b,,231.00000,2008,2014-11-05,NaN
HD 20868 b,,632.46000,2008,2014-11-05,NaN
OGLE 2006-BLG-109L c,,86.00000,2008,2014-11-05,NaN
HD 285968 b,,8.40000,2008,2014-11-19,NaN
HD 11506 c,,114.41000,2008,2014-12-03,NaN
XO-5 b,12.780,378.20000,2008,2015-02-12,2.32
HD 48265 b,,380.00000,2008,2015-03-26,NaN
HD 47186 c,,111.42000,2008,2015-03-26,NaN
HD 73267 b,,973.00000,2008,2015-03-26,NaN
HD 45652 b,,150.00000,2008,2015-03-26,NaN
HD 73534 b,,350.00000,2008,2015-03-26,NaN
HD 47186 b,,22.78000,2008,2015-03-26,NaN
1RXS J160929.1-210524 b,,3000.00000,2008,2015-04-01,NaN
USco CTIO 108 b,,4449.62000,2008,2015-05-14,NaN
HD 7924 b,,8.68000,2008,2015-05-14,NaN
6 Lyn b,,702.40430,2008,2015-09-03,NaN
HAT-P-7 b,15.906,566.05523,2008,2015-10-15,2.24
HD 95089 b,,381.38000,2009,2014-05-14,NaN
HD 206610 b,,699.19700,2009,2014-05-14,NaN
HD 86226 b,,292.39000,2009,2014-05-14,NaN
HD 175167 b,,2478.97000,2009,2014-05-14,NaN
DP Leo b,,1922.79000,2009,2014-05-14,NaN
HD 164604 b,,858.10500,2009,2014-05-14,NaN
HIP 5158 b,,451.00000,2009,2014-05-14,NaN
HD 90156 b,,17.98000,2009,2014-05-14,NaN
61 Vir d,,22.90000,2009,2014-05-14,NaN
HD 125595 b,,13.13400,2009,2014-05-14,NaN
HAT-P-12 b,10.749,67.05900,2009,2014-05-14,1
HD 13931 b,,597.00000,2009,2014-05-14,NaN
11 UMi b,,3337.07000,2009,2014-05-14,NaN
BD+20 2457 c,,3963.17000,2009,2014-05-14,NaN
HD 9446 b,,222.47200,2009,2014-05-14,NaN
HD 16175 b,,1398.00000,2009,2014-05-14,NaN
HD 9446 c,,578.42600,2009,2014-05-14,NaN
HD 152079 b,,953.45000,2009,2014-05-14,NaN
gam 1 Leo b,,2790.43000,2009,2014-05-14,NaN
CoRoT-5 b,15.558,148.42000,2009,2014-05-14,1
CoRoT-6 b,13.068,940.74000,2009,2014-05-14,5.51
HIP 79431 b,,667.41500,2009,2014-05-14,NaN
CoRoT-9 b,11.770,266.97000,2009,2014-05-14,1.93
HIP 70849 b,,2860.00000,2009,2014-05-14,NaN
HD 103197 b,,31.20000,2009,2014-05-14,NaN
47 UMa d,,521.22000,2009,2014-05-14,NaN
HD 104067 b,,58.98500,2009,2014-05-14,NaN
HD 40307 c,,6.60000,2009,2014-05-14,NaN
HD 32518 b,,966.16000,2009,2014-05-14,NaN
HD 125612 c,,18.00000,2009,2014-05-14,NaN
