kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-27 b,CONFIRMED,Active,005/005792/005792202/dv/kplr005792202-002-20141002224145_dvs.pdf,2015-09-18
Kepler-107 d,CONFIRMED,Active,010/010875/010875245/dv/kplr010875245-004-20141002224145_dvs.pdf,2015-09-18
Kepler-27 c,CONFIRMED,Active,005/005792/005792202/dv/kplr005792202-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005370/005370302/dv/kplr005370302-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005372/005372966/dv/kplr005372966-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005376/005376067/dv/kplr005376067-001-20141002224145_dvs.pdf,2015-09-18
Kepler-238 e,CONFIRMED,Active,005/005436/005436502/dv/kplr005436502-001-20141002224145_dvs.pdf,2015-09-18
Kepler-238 d,CONFIRMED,Active,005/005436/005436502/dv/kplr005436502-002-20141002224145_dvs.pdf,2015-09-18
Kepler-238 c,CONFIRMED,Active,005/005436/005436502/dv/kplr005436502-003-20141002224145_dvs.pdf,2015-09-18
Kepler-238 b,CONFIRMED,Active,005/005436/005436502/dv/kplr005436502-004-20141002224145_dvs.pdf,2015-09-18
Kepler-107 b,CONFIRMED,Active,010/010875/010875245/dv/kplr010875245-002-20141002224145_dvs.pdf,2015-09-18
Kepler-238 f,CONFIRMED,Active,005/005436/005436502/dv/kplr005436502-005-20141002224145_dvs.pdf,2015-09-18
Kepler-239 b,CONFIRMED,Active,005/005456/005456651/dv/kplr005456651-001-20141002224145_dvs.pdf,2015-09-18
Kepler-239 c,CONFIRMED,Active,005/005456/005456651/dv/kplr005456651-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005481/005481416/dv/kplr005481416-001-20141002224145_dvs.pdf,2015-09-18
Kepler-240 c,CONFIRMED,Active,005/005531/005531576/dv/kplr005531576-001-20141002224145_dvs.pdf,2015-09-18
Kepler-240 b,CONFIRMED,Active,005/005531/005531576/dv/kplr005531576-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005534/005534814/dv/kplr005534814-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006291/006291653/dv/kplr006291653-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006392/006392727/dv/kplr006392727-001-20141002224145_dvs.pdf,2015-09-18
